"ENTITY","ID","CODE","NAME","STATUS","TYPE","DESCRIPTION","PURPOSE","START DATE","END DATE","CURRENCY","AMOUNT",""
"Ministry of Lands","560","06/2020","Construction of 10,000 Houses for Security Institution Phase 1","implementation","construction","The 10,000 housing for security institutions project is a national initiative by the Government of Malawi, through the Ministry of Lands, Housing and Urban Development, to provide decent accommodation for the members of the Malawi Police Service, the Malawi Defence Force, the Malawi Prison Service and the Department of Immigration and Citizenship Services.","The 10,000 housing for security institutions project is a national initiative by the Government of Malawi, through the Ministry of Lands, Housing and Urban Development, to provide decent accommodation for the members of the Malawi Police Service, the Malawi Defence Force, the Malawi Prison Service and the Department of Immigration and Citizenship Services.","2021-04-01","2025-03-31","MWK","3500000000.00",""
"Ministry of Lands","561","06/2020","Construction of 10,000 Housing Units Phase 2","preparation","construction","The 10,000 housing for security institutions project is a national initiative by the Government of Malawi, through the Ministry of Lands, Housing and Urban Development, to provide decent accommodation for the members of the Malawi Police Service, the Malawi Defence Force, the Malawi Prison Service and the Department of Immigration and Citizenship Services.","The 10,000 housing for security institutions project is a national initiative by the Government of Malawi, through the Ministry of Lands, Housing and Urban Development, to provide decent accommodation for the members of the Malawi Police Service, the Malawi Defence Force, the Malawi Prison Service and the Department of Immigration and Citizenship Services.","2021-04-01","2025-03-31","MWK","3500000000.00",""
"M'mbelwa District Council","529","MDC/NCB/GESD/2021-22/011","Chitokoto-Zakeyo Solar Powered Drip Irrigation Scheme","completed","construction","Design and building Chitokoto solar powered irrigation scheme covering an area of 5ha.","Improving food security in the surrounding area through installation of mechanized solar powered irrigation scheme.","2021-12-20","2022-02-18","MWK","30009183.93",""
"Chitipa District Council","520","CPDC/01/11/22f","Construction of girls Hostel at Misiku CDSS","completed","construction","The project will construct an eighty-bed hostel","To promote girl child education as they are provided with decent accommodation within the school premises hence averting other social and physical distractors on their education","2022-01-01","2022-04-01","MWK","51624823.65",""
"Rumphi District Council","533","MW-RDA-320753-CW-RFB","CONSTRUCTION OF MDIMWA PRIMARY CLASSROOM BLOCK","implementation","construction","CONSTRUCTION OF CLASSROM BLOCK FOR PRIMARY SCHOOL","THE SCHOOL IS LOCATED IN VERY REMOTE AREA, VERY HARD TO REACH DUE TO TOPOGRAPHY. THIS PROJECT WILL EASE ACCESS TO PRIMARY EDUCATION","2023-04-05","2023-08-05","MWK","43036415.50",""
"Central Region Water Board","555","PSIP 2130","Rehabilitation and Expansion of Dwangwa, Salima, Nkhota-kota and Ntchisi Schemes","implementation","expansion","The project involves rehabilitating aged infrastructure which has outlived its design life, upgrading and expanding existing water supply systems to meet the growing demand in Dwangwa, Salima, Nkhotakota and Ntchisi","The purpose of the project is to increase access to potable water in Dwangwa, Salima, Nkhotakota and Ntchisi by increasing water supply coverage and improving water supply reliability","2019-07-01","2025-03-31","MWK","136683000000.00",""
"Mzuzu City Council","522","MCC/ROADS/BRG/IDF/22/10/02","MAINTANANCE OF TIMBER BRIDGES IN CHIBAVI, MCHENGAUTUBA WEST, AND GAGDAD BRIDGES","implementation","rehabilitation","To maintain the bridges in the selected wards","To ease mobility in the selected areas","2023-02-06","2023-07-06","MWK","3490625.00",""
"Blantyre District Council","562","BTDC/W/BT/NORTH/052/2022","MTANAMGALA TWO SPAN CONCRETE REHAB(MATERIALS)","completed","rehabilitation","Rehabilitation of a concrete","rehabilitation","2022-10-22","2022-12-22","MWK","7260000.00",""
"Blantyre District Council","563","BTDC/W/CDF/W/091/2022","CONSTRUCTION OF CHITUNDU SCHOOL BLOCK","implementation","construction","CONSTRUCTION OF CHITUNDU SCHOOL BLOCK","Provide conducive learning environment","2022-01-23","2022-02-23","MWK","33845548.14",""
"Blantyre District Council","564","BTDC/W/BT/SW/050/2022","CONSTRUCTION OF NTAYAMWANA 2 CONCRETE BRIDGE","completed","construction","CONSTRUCTION OF NTAYAMWANA 2 CONCRETE BRIDGE","to facilitate accessibility to social services","2022-10-22","2022-12-22","MWK","35847554.00",""
"Blantyre District Council","565","BTDC/W/CDF/NORTHEAST/089/2022","MAONI SCHOOL BLOCK REPAIRS","completion","rehabilitation","REPAIRING A SCHOOL BLOCK","Provide conducive learning environment","2022-07-22","2022-08-22","MWK","12700000.00",""
"Blantyre District Council","566","W/045/2012","CONSTRUCTION OF BENCHES AT DZIWE MARKET","implementation","construction","BENCHES CONSTRUCTION","BENCHES FOR VENDORS","2012-09-22","2012-10-22","MWK","5524152.00",""
"Blantyre District Council","567","W/MPEMBA/MARKET/003/2022","COMPLETION OF MPEMBA MARKET","implementation","construction","MARKET CONSTRUCTION","MARKET CONSTRUCTION","2022-06-22","2022-10-22","MWK","100000000.00",""
"Blantyre District Council","568","BTDC/W/DDF/06/2022","NAKAZIMU SCHOOL BLOCK","implementation","construction","SCHOOL BLOCK CONSTRUCTION","Provide conducive learning environment","2022-12-22","2023-03-23","MWK","36000000.00",""
"Blantyre District Council","569","W/BH/008/2022","CONSTRUCTION OF THREE BOREHOLES","completion","construction","BOREHOLE DRILING","WATER SUPPLY","2022-06-22","2022-07-22","MWK","60000000.00",""
"Blantyre District Council","570","W/DDF/SW/04/2022","MANG'OMBA CLASSROOM BLOCK","completed","construction","CONSTRUCTION OF CLASSROOM BLOCKS","CLASSROOM CONSTRUCTION","2022-06-22","2022-08-22","MWK","34950750.00",""
"Blantyre District Council","571","BTDC/W/BT/SW/051/2022","CONSTRUCTION OF NAMICHIMBA BRIDGE","completed","construction","BRIDGE CONSTRUCTION","to facilitate accessibility to social services","2022-10-22","2022-12-22","MWK","13519097.00",""
"Blantyre District Council","572","BTDC/W/CDF-W/090/2022","CONSTRUCTION OF CHIGOMBE SCHOOL BLOCK","implementation","construction","SCHOOL BLOCK CONSTRUCTION","Provide conducive learning environment","2022-01-23","2022-10-22","MWK","39422004.09",""
"Blantyre District Council","573","BTDC/W/CDF-W/085/2022","ELECTRIFICATION OF CHIKULI POLICE","completed","rehabilitation","CHIKULI POLICE ELECTRIFICATION","TO SUPPLY ELECTRICITY","2022-01-23","2022-02-23","MWK","3234000.00",""
"Blantyre District Council","574","BTDC/W/CDF-W/084/2022","MAITENANCE OF CHIKOWA HEALTH CENTRE","completed","rehabilitation","HEALTH CETRE MAINTENANCE","TO IMPROVE THE CONDITION OF THE HEALTH CETRE","2022-01-23","2022-03-23","MWK","14500000.00",""
"Blantyre District Council","575","W/051/2022","CONSTRUCTION OF KHUNGULU SCHOOL SEMI-DETACHED HOUSE","implementation","construction","HOUSE CONSTRUCTION","HOUSE CONSTRUCTION","2022-06-22","2022-11-22","MWK","10000000.00",""
"Blantyre District Council","576","W/048/2022","CONSTRUCTION OF MICHILU SCHOOL SEMI DETACHED HOUSE","implementation","construction","HOUSE CONSTRUCTION","dwelling house for  a primary school teacher","2022-03-22","2022-11-22","MWK","10000000.00",""
"Blantyre District Council","577","BTDC/W/CDF-RURA LEAST 082/2022","CONSTRUCTION OF NAMATANU BRIDGE","completed","construction","BRIDGE CONSTRUCTION","TO PROVIDE ACCESS TO SOCIAL SERVICES","2022-01-23","2022-02-23","MWK","20932250.25",""
"Blantyre District Council","578","BTDC/W/CDF-RURAL 079/2022","MLOMBOZI SCHOOL BLOCK MAITENANCE","completed","rehabilitation","BLOCK REHABILITATION","Provide conducive learning environment","2022-01-23","2022-02-23","MWK","27200000.00",""
"Blantyre District Council","579","BTDC/W/CDF-RURAL EAST/082/2022","NAMIKATE SCHOOL BLOCK MAITENANCE","completed","rehabilitation","BLOCK REHABILITATION","Provide conducive learning environment","2022-01-23","2022-02-23","MWK","11800000.00",""
"Blantyre District Council","580","BTDC/W/CDF/RURAL EAST/089/2022","MAINTENANCE OF MAKOMANO CONCRETE BRIDGE","completed","rehabilitation","CONCRETE MAITENANCE","to facilitate accessibility to social services","2022-12-22","2023-01-23","MWK","4072845.00",""
"Blantyre District Council","582","BTDC/W/45/2021/22","CHILINGANI SCHOOL BLOCK","completed","construction","CONSTRUCTION OF  A SCHOOL BLOCK","to accommodate more students and to Provide conducive learning environment","2021-10-22","2022-02-23","MWK","13991600.00",""
"Blantyre District Council","583","BTDC/W/WSF/04/2023","CONSTRUCTION OF FOUR BOREHOLES","completed","construction","BOREHOLE CONSTRUCTION","WATER SUPPLY","2022-09-22","2022-10-22","MWK","17954000.00",""
"Blantyre District Council","584","BTDC/W/WSF/05/2023","CONSTRUCTION OF 6 BOREHOLES","completed","construction","BOREHOLE CONSTRUCTION","WATER SUPPLY","2022-11-22","2023-03-23","MWK","26080000.00",""
"Blantyre District Council","585","BTDC/W/BT/CDF/051/2022","ELECTRIFICATION OF MADZIABANGO HEALTH CENTER","completed","rehabilitation","ELECTRIFICATION","TO SUPPLY POWER ON THE HEALTH CENTER","2022-07-22","2022-10-22","MWK","20405694.65",""
"Blantyre District Council","586","BTDC/W/BT/NORTH/086/2022","MAINTENANCE OF NDALAPA CLASSROOM BLOCKS","completed","rehabilitation","BLOCK MAIINTENANCE","Provide conducive learning environment","2022-03-22","2022-06-22","MWK","676700.00",""
"Blantyre District Council","587","BTDC/W/BT/N/001/2022","CONSTRUCTION OF CHINAMVUWU PRIMARY SCHOOL BLOCK","completed","construction","BLOCK CONSRUCTION","Provide conducive learning environment","2022-07-22","2022-09-22","MWK","1750000.00",""
